Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2017/1/9,37.77,37.77,37.77,37.77,37.77,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8714733542319748,0.8714733542319748,0.8714733542319748,0.8714733542319748
2017/1/10,37.34,37.34,37.34,37.34,37.34,"['hammer', 'hanging man', 'inverse hammer', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8592191507552009,0.8592191507552009,0.8592191507552009,0.8592191507552009
2017/1/11,38.08,38.08,38.08,38.08,38.08,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,,0,0.8803077799943002,0.8803077799943002,0.8803077799943002,0.8803077799943002
2017/1/12,38.66,38.66,38.66,38.66,38.66,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8968367056141349,0.8968367056141349,0.8968367056141349,0.8968367056141349
2017/1/13,38.85,38.85,38.85,38.85,38.85,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.9022513536620118,0.9022513536620118,0.9022513536620118,0.9022513536620118
2017/1/16,38.69,38.69,38.69,38.69,38.69,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,,0,0.897691650042747,0.897691650042747,0.897691650042747,0.897691650042747
2017/1/17,37.66,37.66,37.66,37.66,37.66,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8683385579937302,0.8683385579937302,0.8683385579937302,0.8683385579937302
2017/1/18,37.38,37.38,37.38,37.38,37.38,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8603590766600171,0.8603590766600171,0.8603590766600171,0.8603590766600171
2017/1/19,38.54,38.54,38.54,38.54,38.54,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,,0,0.8934169278996864,0.8934169278996864,0.8934169278996864,0.8934169278996864
2017/1/20,37.94,37.94,37.94,37.94,37.94,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,,0,0.8763180393274435,0.8763180393274435,0.8763180393274435,0.8763180393274435
2017/1/23,37.7,37.7,37.7,37.7,37.7,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8694784838985465,0.8694784838985465,0.8694784838985465,0.8694784838985465
2017/1/24,37.61,37.61,37.61,37.61,37.61,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.86691365061271,0.86691365061271,0.86691365061271,0.86691365061271
2017/1/25,37.15,37.15,37.15,37.15,37.15,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,,0,0.8538045027073238,0.8538045027073238,0.8538045027073238,0.8538045027073238
2017/1/26,37.74,37.74,37.74,37.74,37.74,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,,0,0.8706184098033627,0.8706184098033627,0.8706184098033627,0.8706184098033627
2017/2/3,37.68,37.68,37.68,37.68,37.68,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,,0,0.8689085209461382,0.8689085209461382,0.8689085209461382,0.8689085209461382
2017/2/6,36.91,36.91,36.91,36.91,36.91,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8469649472784266,0.8469649472784266,0.8469649472784266,0.8469649472784266
2017/2/7,37.92,37.92,37.92,37.92,37.92,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,,0,0.8757480763750356,0.8757480763750356,0.8757480763750356,0.8757480763750356
2017/2/8,37.95,37.95,37.95,37.95,37.95,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.8766030208036477,0.8766030208036477,0.8766030208036477,0.8766030208036477
2017/2/9,39.02,39.02,39.02,39.02,39.02,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,,0,0.9070960387574807,0.9070960387574807,0.9070960387574807,0.9070960387574807
2017/2/10,41.52,41.52,41.52,41.52,41.52,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'rising three methods', 'doji', 'spanning top']",None,,,,38.10549999999999,0,0.9783414078084924,0.9783414078084924,0.9783414078084924,0.9783414078084924
2017/2/13,40.69,40.69,40.69,40.69,40.69,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,38.2515,0,0.9546879452835564,0.9546879452835564,0.9546879452835564,0.9546879452835564
2017/2/14,41.44,41.44,41.44,41.44,41.44,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,38.4565,0,0.9760615559988599,0.9760615559988599,0.9760615559988599,0.9760615559988599
2017/2/15,42.28,42.28,42.28,42.28,42.28,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'rising three methods', 'doji', 'spanning top']",None,,,,38.6665,0,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998
2017/2/16,40.79,40.79,40.79,40.79,40.79,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,38.772999999999996,0,0.9575377600455968,0.9575377600455968,0.9575377600455968,0.9575377600455968
2017/2/17,39.32,39.32,39.32,39.32,39.32,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,38.796499999999995,0,0.915645483043602,0.915645483043602,0.915645483043602,0.915645483043602
2017/2/20,37.88,37.88,37.88,37.88,37.88,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'spanning top']",None,,,,38.75599999999999,0,0.8746081504702194,0.8746081504702194,0.8746081504702194,0.8746081504702194
2017/2/21,38.27,38.27,38.27,38.27,38.27,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,38.7865,0,0.8857224280421772,0.8857224280421772,0.8857224280421772,0.8857224280421772
2017/2/22,37.65,37.65,37.65,37.65,37.65,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'falling three methods', 'spanning top']",None,,,,38.8,0,0.8680535765175261,0.8680535765175261,0.8680535765175261,0.8680535765175261
2017/2/23,37.73,37.73,37.73,37.73,37.73,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,38.759499999999996,0,0.8703334283271584,0.8703334283271584,0.8703334283271584,0.8703334283271584
2017/2/24,37.39,37.39,37.39,37.39,37.39,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'evening star', 'doji', 'spanning top']",None,,,,38.73199999999999,0,0.8606440581362209,0.8606440581362209,0.8606440581362209,0.8606440581362209
2017/2/28,36.72,36.72,36.72,36.72,36.72,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'falling three methods', 'spanning top']",None,,,,38.68299999999999,0,0.8415502992305499,0.8415502992305499,0.8415502992305499,0.8415502992305499
2017/3/1,37.52,37.52,37.52,37.52,37.52,"['three white soldiers', 'hammer', 'hanging man', 'inverse hammer', 'three black crows', 'shooting star', 'doji', 'morning star', 'spanning top']",None,,,,38.67849999999999,0,0.8643488173268736,0.8643488173268736,0.8643488173268736,0.8643488173268736
